,id,x,y
271,414309-16413233-2026,0.6427865,0.57212466
272,414309-16413237-2027,0.64909476,0.5643516
273,414309-16413242-2028,0.3652651,0.9426005
274,414309-16413254-2029,0.8570199,0.36599016
275,414309-16413261-2030,0.57749426,0.13175698
276,414309-16413270-2031,0.56837314,0.083241805
277,414309-16413275-2032,0.27212036,0.1717624
278,414309-16413282-2033,0.56377685,0.063447215
279,414309-16413299-2034,0.65817034,0.09952331
280,414309-16413300-2035,0.21243419,0.24382442
281,414309-16413304-2036,0.26063323,0.20634544
282,414309-16413324-2037,0.27197117,0.21195084
283,414309-16413329-2038,0.9669383,0.50537467
284,414309-16413329-2039,0.28159794,0.20978071
285,414309-16413331-2040,0.27564695,0.21411407
286,414309-16413332-2041,0.3612076,0.93322617
287,414309-16413338-2042,0.9685079,0.4982637
288,414309-16413339-2043,0.8731368,0.44196
289,414309-16413343-2044,0.47832555,0.26265535
290,414309-16413344-2045,0.27571166,0.18890168
291,414309-16413346-2046,0.6476935,0.56878287
292,414309-16413349-2047,0.5655633,0.07857649
293,414309-16413353-2048,0.28597465,0.18276937
294,414309-16413360-2049,0.5977153,0.4391869
295,414309-16413365-2050,0.24611172,0.197232
296,414309-16413369-2051,0.27626446,0.18024133
297,414309-16413370-2052,0.87285024,0.44189805
298,414309-16413374-2053,0.87126184,0.44139984
299,414309-16413375-2054,0.24828254,0.1825352
300,414309-16413386-2055,0.9755283,0.49747172
301,414309-16413390-2056,0.22985731,0.693224
302,414309-16413390-2057,0.9691683,0.5082702
303,414309-16413399-2058,0.28356615,0.17971042
304,414309-16413399-2059,0.26593181,0.18265368
305,414309-16413401-2060,0.64155066,0.55305463
306,414309-16413403-2061,0.53233874,0.005726494
307,414309-16413411-2062,0.6366642,0.55305445
308,414309-16413414-2063,0.5695705,0.07325165
309,414309-16413416-2064,0.24589202,0.18878771
310,414309-16413420-2065,0.5402832,0.06842374
311,414309-16413421-2066,0.63458425,0.55403835
312,414309-16413425-2067,0.2583612,0.18019049
313,414309-16413435-2068,0.8705871,0.43174013
314,414309-16413440-2069,0.57529914,0.06942767
315,414309-16413449-2070,0.97753406,0.49965566
316,414309-16413461-2071,0.24566726,0.19193514
317,414309-16413472-2072,0.25707555,0.19940524
318,414309-16413475-2073,0.8699707,0.43242633
319,414309-16413481-2074,0.65816104,0.09953475
320,414309-16413486-2075,0.97267514,0.5093366
321,414309-16413488-2076,0.5890839,0.05800429
322,414309-16413492-2077,0.88971585,0.46039072
323,414309-16413493-2078,0.8897119,0.4603682
324,414309-16413495-2079,0.8536712,0.3715818
325,414309-16413497-2080,0.8739415,0.44211647
326,414309-16413499-2081,0.8044596,0.6144862
327,414309-16413504-2082,0.34666383,0.44563684
328,414309-16413513-2083,0.868229,0.43677396
329,414309-16413516-2084,0.8110558,0.6090007
330,414309-16413528-2085,0.25282896,0.20973086
331,414309-16413532-2086,0.5556059,0.08431224
332,414309-16413535-2087,0.43753,0.27831072
333,414309-16413537-2088,0.25480908,0.18912356
334,414309-16413537-2089,0.5474965,0.0442727
335,414309-16413539-2090,0.28479713,0.1961651
336,414309-16413540-2091,0.28023735,0.21276173
337,414309-16413549-2092,0.57137835,0.048442755
338,414309-16413553-2093,0.40251583,0.89327514
339,414309-16413554-2094,0.5636155,0.05389802
340,414309-16413556-2095,0.5717901,0.05646823
341,414309-16413561-2096,0.43709084,0.27823666
342,414309-16413567-2097,0.2843338,0.20648865
343,414309-16413570-2098,0.39893925,0.9242987
344,414309-16413572-2099,0.55992824,0.08652423
345,414309-16413574-2100,0.38912272,0.9138647
346,414309-16413577-2101,0.37302274,0.9143652
347,414309-16413579-2102,0.5625518,0.06339351
348,414309-16413624-2103,0.5527655,0.07813401
349,414309-16413629-2104,0.38192537,0.91119146
350,414309-16413632-2105,0.38256606,0.892668
351,414309-16413635-2106,0.3785497,0.9051024
352,414309-16413643-2107,0.53541523,0.069632284
353,414309-16413649-2108,0.2885779,0.18757185
354,414309-16413666-2109,0.5323337,0.0057280366
355,414309-16413675-2110,0.3714346,0.90074176
356,414309-16413683-2111,0.2650187,0.19399402
357,414309-16413686-2112,0.2750868,0.20185433
358,414309-16413688-2113,0.26304042,0.19269481
359,414309-16413694-2114,0.26565576,0.20658846
360,414309-16413696-2115,0.28057534,0.18564957
361,414309-16413706-2116,0.28929096,0.19302289
362,414309-16413706-2117,0.3266307,0.12701389
363,414309-16413706-2118,0.452393,0.066356294
364,414309-16413709-2119,0.87994766,0.435313
365,414309-16413713-2120,0.8795311,0.43949258
366,414309-16413716-2121,0.9018446,0.42604405
367,414309-16413724-2122,0.87954473,0.43409127
368,414309-16413729-2123,0.54314655,0.085217424
369,414309-16413731-2124,0.4395045,0.28029093
370,414309-16413737-2125,0.28856727,0.19954395
371,414309-16413741-2126,0.87995404,0.4359905
372,414309-16413744-2127,0.86833763,0.43716574
