TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EDB,MAF,3d and perspective,separate sheet,0.03941468111334365
EE,MCB,paratext,intaglio,3.5393410779787002
EEB,MCB,creator signature,intaglio,3.768159768474581
MAF,MCB,separate sheet,intaglio,2.931658500757461
EAB,EEA,numbers,caption,1.3893571521703025
EEA,MAF,caption,separate sheet,3.204091604593504
EEA,MCB,caption,intaglio,3.59908316167059
ECB,EEA,persons or human body,caption,3.15321043559132
ECC,EE,scene,paratext,3.936188159237975
ECC,EEA,scene,caption,4.083501463779916
ECC,EEB,scene,creator signature,4.186731620888572
ECC,MAF,scene,separate sheet,2.370988913338249
EDB,EEA,3d and perspective,caption,1.4962723560868145
EEA,EEB,caption,creator signature,4.625555373031781
EEA,MAG,caption,separate page,1.1723827448661661
ECC,MAB,scene,part of a set,-0.4914073722773176
EEB,MAB,creator signature,part of a set,0.16612375439448349
EEB,MAA,creator signature,integrated in the layout,-0.6450834931587273
EAE,EEA,phrases,caption,1.0981581598444392
MAB,MAF,part of a set,separate sheet,0.5520149080138111
EAF,EEB,sentences,creator signature,1.0691620245073956
EAF,MAF,sentences,separate sheet,-0.030373649043518865
EAC,EEA,symbols,caption,0.3296224866773632
EE,MAC,paratext,compound of images,-0.23826650068485195
EEA,MAC,caption,compound of images,0.06658808084356907
ECD,EEA,topographical structures,caption,1.2365130822858814
EEA,MAE,caption,title page/frontispiece,1.467126010427298
MAE,MAF,title page/frontispiece,separate sheet,1.647698256069119
MAA,MAE,integrated in the layout,title page/frontispiece,-4.4815847608758475
EAC,EBE,symbols,taxonomic shapes,1.6097304058700983
EAD,EBE,words,taxonomic shapes,1.5837351973371538
EAE,EBE,phrases,taxonomic shapes,2.57091115697957
EAF,EBE,sentences,taxonomic shapes,3.6541245252285517
EBE,EC,taxonomic shapes,concrete elements,-2.2162401943548526
EBE,ECA,taxonomic shapes,physical objects,-2.182557068098564
EBE,ECB,taxonomic shapes,persons or human body,0.7328786366429632
EBE,ED,taxonomic shapes,plasticity,-2.0414517809935004
EBE,EDA,taxonomic shapes,light/shadow,-1.9904528317898273
EBE,EDB,taxonomic shapes,3d and perspective,-1.0309746467780545
EBE,EE,taxonomic shapes,paratext,1.9987726966159975
EBE,EEA,taxonomic shapes,caption,2.3036272781444183
EBE,MAG,taxonomic shapes,separate page,2.4524906640589013
EBE,MCB,taxonomic shapes,intaglio,1.1243035786998565
EA,MBB,text,cut out template,0.1017298869638263
EAA,MB,letters,interactive,-0.07146084108671821
EAA,MBB,letters,cut out template,0.3435766581921258
EAB,MB,numbers,interactive,-0.22361972472045036
EAB,MBB,numbers,cut out template,0.19141777455839346
EB,MBB,abstract elements,cut out template,0.5384491490223845
EBA,MBB,geometric shapes,cut out template,0.8452982159542797
MAB,MB,part of a set,interactive,1.6515505815647256
MAB,MBB,part of a set,cut out template,2.066588080843569
MAF,MB,separate sheet,interactive,4.876516946565
MAF,MBB,separate sheet,cut out template,5.291554445843844
MBB,MCA,cut out template,woodcut,0.12296589196434529
EAD,MBB,words,cut out template,2.2211651179524456
EC,MBB,concrete elements,cut out template,0.006152226981595494
ECA,MBB,physical objects,cut out template,0.03983535323788396
ED,MB,plasticity,interactive,-1.2340968589358965
ED,MBB,plasticity,cut out template,-0.8190593596570527
EDA,MB,light/shadow,interactive,-1.183097909732223
EDA,MBB,light/shadow,cut out template,-0.7680604104533792
EAB,MAD,numbers,in the margin,0.19141777455839346
EAC,MAF,symbols,separate sheet,-0.489805267680816
EBD,EE,tabular shapes,paratext,0.7186647774232621
EBD,EEA,tabular shapes,caption,1.0235193589516831
EBE,MCD,taxonomic shapes,movable types,5.275612901974822
MAC,MAE,compound of images,title page/frontispiece,0.5101947323191841
EBD,MAC,tabular shapes,compound of images,1.066588080843569
EBD,MCD,tabular shapes,movable types,2.4105424820609307
MAC,MCD,compound of images,movable types,1.4536112039528164
